i_data = 00000000, o_parity_bit = 0, o_parity_error = 0
i_data = 00000001, o_parity_bit = 1, o_parity_error = 0
i_data = 00000010, o_parity_bit = 1, o_parity_error = 0
i_data = 00000011, o_parity_bit = 0, o_parity_error = 0
i_data = 00000100, o_parity_bit = 1, o_parity_error = 0
i_data = 00000101, o_parity_bit = 0, o_parity_error = 0
i_data = 00000110, o_parity_bit = 0, o_parity_error = 0
i_data = 00000111, o_parity_bit = 1, o_parity_error = 0
i_data = 00001000, o_parity_bit = 1, o_parity_error = 0
i_data = 00001001, o_parity_bit = 0, o_parity_error = 0
i_data = 00001010, o_parity_bit = 0, o_parity_error = 0
i_data = 00001011, o_parity_bit = 1, o_parity_error = 0
i_data = 00001100, o_parity_bit = 0, o_parity_error = 0
i_data = 00001101, o_parity_bit = 1, o_parity_error = 0
i_data = 00001110, o_parity_bit = 1, o_parity_error = 0
i_data = 00001111, o_parity_bit = 0, o_parity_error = 0
i_data = 00010000, o_parity_bit = 1, o_parity_error = 0
i_data = 00010001, o_parity_bit = 0, o_parity_error = 0
i_data = 00010010, o_parity_bit = 0, o_parity_error = 0
i_data = 00010011, o_parity_bit = 1, o_parity_error = 0
i_data = 00010100, o_parity_bit = 0, o_parity_error = 0
i_data = 00010101, o_parity_bit = 1, o_parity_error = 0
i_data = 00010110, o_parity_bit = 1, o_parity_error = 0
i_data = 00010111, o_parity_bit = 0, o_parity_error = 0
i_data = 00011000, o_parity_bit = 0, o_parity_error = 0
i_data = 00011001, o_parity_bit = 1, o_parity_error = 0
i_data = 00011010, o_parity_bit = 1, o_parity_error = 0
i_data = 00011011, o_parity_bit = 0, o_parity_error = 0
i_data = 00011100, o_parity_bit = 1, o_parity_error = 0
i_data = 00011101, o_parity_bit = 0, o_parity_error = 0
i_data = 00011110, o_parity_bit = 0, o_parity_error = 0
i_data = 00011111, o_parity_bit = 1, o_parity_error = 0
i_data = 00100000, o_parity_bit = 1, o_parity_error = 0
i_data = 00100001, o_parity_bit = 0, o_parity_error = 0
i_data = 00100010, o_parity_bit = 0, o_parity_error = 0
i_data = 00100011, o_parity_bit = 1, o_parity_error = 0
i_data = 00100100, o_parity_bit = 0, o_parity_error = 0
i_data = 00100101, o_parity_bit = 1, o_parity_error = 0
i_data = 00100110, o_parity_bit = 1, o_parity_error = 0
i_data = 00100111, o_parity_bit = 0, o_parity_error = 0
i_data = 00101000, o_parity_bit = 0, o_parity_error = 0
i_data = 00101001, o_parity_bit = 1, o_parity_error = 0
i_data = 00101010, o_parity_bit = 1, o_parity_error = 0
i_data = 00101011, o_parity_bit = 0, o_parity_error = 0
i_data = 00101100, o_parity_bit = 1, o_parity_error = 0
