i_clk = 0, i_reset = 0, i_areset = 0, i_in =   1, o_out_0 =   x, o_out_1 =   0, o_out_2 =   0, o_out_3 =   x, o_out_4 =   x, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxxxxx
i_clk = 1, i_reset = 0, i_areset = 0, i_in =   2, o_out_0 =   1, o_out_1 =   0, o_out_2 =   1, o_out_3 =   1, o_out_4 =   1, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxxxx0
i_clk = 0, i_reset = 0, i_areset = 0, i_in =   3, o_out_0 =   1, o_out_1 =   2, o_out_2 =   2, o_out_3 =   1, o_out_4 =   1, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxxxx0
i_clk = 1, i_reset = 0, i_areset = 0, i_in =   4, o_out_0 =   3, o_out_1 =   2, o_out_2 =   3, o_out_3 =   3, o_out_4 =   3, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxxx00
i_clk = 0, i_reset = 0, i_areset = 0, i_in =   5, o_out_0 =   3, o_out_1 =   4, o_out_2 =   4, o_out_3 =   3, o_out_4 =   3, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxxx00
i_clk = 1, i_reset = 0, i_areset = 0, i_in =   6, o_out_0 =   5, o_out_1 =   4, o_out_2 =   5, o_out_3 =   5, o_out_4 =   5, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxx010
i_clk = 0, i_reset = 0, i_areset = 0, i_in =   7, o_out_0 =   5, o_out_1 =   6, o_out_2 =   6, o_out_3 =   5, o_out_4 =   5, i_sel = 0, o_out_5 = xxxx, o_out_6 = xxxxx010
i_clk = 1, i_reset = 0, i_areset = 0, i_in =   8, o_out_0 =   7, o_out_1 =   6, o_out_2 =   7, o_out_3 =   7, o_out_4 =   7, i_sel = 1, o_out_5 = xxxx, o_out_6 = xxxxx000
i_clk = 1, i_reset = 0, i_areset = 1, i_in =   8, o_out_0 =   7, o_out_1 =   6, o_out_2 =   7, o_out_3 =   7, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 0, i_reset = 0, i_areset = 1, i_in =   9, o_out_0 =   7, o_out_1 =   8, o_out_2 =   8, o_out_3 =   7, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 1, i_reset = 1, i_areset = 1, i_in =  10, o_out_0 =   9, o_out_1 =   8, o_out_2 =   9, o_out_3 =   9, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 0, i_reset = 1, i_areset = 1, i_in =  11, o_out_0 =   9, o_out_1 =  10, o_out_2 =  10, o_out_3 =   9, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 1, i_reset = 1, i_areset = 1, i_in =  12, o_out_0 =  11, o_out_1 =  10, o_out_2 =  11, o_out_3 =   0, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 0, i_reset = 1, i_areset = 1, i_in =  13, o_out_0 =  11, o_out_1 =  12, o_out_2 =  12, o_out_3 =   0, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 0, i_reset = 1, i_areset = 0, i_in =  13, o_out_0 =  11, o_out_1 =  12, o_out_2 =  12, o_out_3 =   0, o_out_4 =   0, i_sel = 1, o_out_5 = 0000, o_out_6 = 00000000
i_clk = 1, i_reset = 1, i_areset = 0, i_in =  14, o_out_0 =  13, o_out_1 =  12, o_out_2 =  13, o_out_3 =   0, o_out_4 =  13, i_sel = 1, o_out_5 = 000d, o_out_6 = 11110010
i_clk = 0, i_reset = 1, i_areset = 0, i_in =  15, o_out_0 =  13, o_out_1 =  14, o_out_2 =  14, o_out_3 =   0, o_out_4 =  13, i_sel = 1, o_out_5 = 000d, o_out_6 = 11110010
i_clk = 1, i_reset = 1, i_areset = 0, i_in =  16, o_out_0 =  15, o_out_1 =  14, o_out_2 =  15, o_out_3 =   0, o_out_4 =  15, i_sel = 2, o_out_5 = 000f, o_out_6 = 00000000
i_clk = 0, i_reset = 1, i_areset = 0, i_in =  17, o_out_0 =  15, o_out_1 =  16, o_out_2 =  16, o_out_3 =   0, o_out_4 =  15, i_sel = 2, o_out_5 = 000f, o_out_6 = 00000000
i_clk = 1, i_reset = 0, i_areset = 0, i_in =  18, o_out_0 =  17, o_out_1 =  16, o_out_2 =  17, o_out_3 =   0, o_out_4 =  17, i_sel = 2, o_out_5 = 110f, o_out_6 = 11101110
i_clk = 0, i_reset = 0, i_areset = 0, i_in =  19, o_out_0 =  17, o_out_1 =  18, o_out_2 =  18, o_out_3 =   0, o_out_4 =  17, i_sel = 2, o_out_5 = 110f, o_out_6 = 11101110
i_clk = 1, i_reset = 0, i_areset = 0, i_in =  20, o_out_0 =  19, o_out_1 =  18, o_out_2 =  19, o_out_3 =  19, o_out_4 =  19, i_sel = 2, o_out_5 = 130f, o_out_6 = 00000000
i_clk = 0, i_reset = 0, i_areset = 0, i_in =  21, o_out_0 =  19, o_out_1 =  20, o_out_2 =  20, o_out_3 =  19, o_out_4 =  19, i_sel = 2, o_out_5 = 130f, o_out_6 = 00000000
i_clk = 1, i_reset = 0, i_areset = 0, i_in =  22, o_out_0 =  21, o_out_1 =  20, o_out_2 =  21, o_out_3 =  21, o_out_4 =  21, i_sel = 2, o_out_5 = 150f, o_out_6 = 11101010
i_clk = 0, i_reset = 0, i_areset = 0, i_in =  23, o_out_0 =  21, o_out_1 =  22, o_out_2 =  22, o_out_3 =  21, o_out_4 =  21, i_sel = 2, o_out_5 = 150f, o_out_6 = 11101010
i_clk = 1, i_reset = 0, i_areset = 0, i_in =  24, o_out_0 =  23, o_out_1 =  22, o_out_2 =  23, o_out_3 =  23, o_out_4 =  23, i_sel = 3, o_out_5 = 170f, o_out_6 = 00000000
i_clk = 0, i_reset = 0, i_areset = 0, i_in =  25, o_out_0 =  23, o_out_1 =  24, o_out_2 =  24, o_out_3 =  23, o_out_4 =  23, i_sel = 3, o_out_5 = 170f, o_out_6 = 00000000
i_clk = 1, i_reset = 1, i_areset = 0, i_in =  26, o_out_0 =  25, o_out_1 =  24, o_out_2 =  25, o_out_3 =  25, o_out_4 =  25, i_sel = 3, o_out_5 = 1919, o_out_6 = 11100110
