v_0_in,s_1_in,        v_2_in,v_3_in_0,v_3_in_1,v_3_in_2,shift,s_0_out_0,s_0_out_1,s_0_out_2,s_0_out_3,v_1_out, v_2_out,v_3_out
  0000,     0, 0000000000000,       0,       0,       0,    0,        0,        0,        0,        0,   zzzz, 1010100,      0
  0001,     1, 0000000000001,       0,       1,       2,    1,        1,        0,        0,        0,   zzzz, 1010101,    528
  0010,     0, 0000000000010,       1,       2,       3,    2,        0,        1,        0,        0,   zzzz, 1010100,    801
  0011,     1, 0000000000100,       2,       3,       4,    3,        1,        1,        0,        0,   zzzz, 1010100,   1074
  0100,     0, 0000000001000,       3,       4,       5,    4,        0,        0,        1,        0,   zzzz, 1010100,   1347
  0101,     1, 0000000010000,       4,       5,       6,    5,        1,        0,        1,        0,   zzzz, 1010100,   1620
  0110,     0, 0000000100000,       5,       6,       7,    6,        0,        1,        1,        0,   zzzz, 1011100,   1893
  0111,     1, 0000001000000,       6,       7,       8,    7,        1,        1,        1,        0,   zzzz, 1011100,   2166
  1000,     0, 0000010000000,       7,       8,       9,    8,        0,        0,        0,        1,   zzzz, 1000100,   2439
  1001,     1, 0000100000000,       8,       9,      10,    9,        1,        0,        0,        1,   zzzz, 1000100,   2712
  1010,     0, 0001000000000,       9,      10,      11,   10,        0,        1,        0,        1,   zzzz, 1110100,   2985
  1011,     1, 0010000000000,      10,      11,      12,   11,        1,        1,        0,        1,   zzzz, 1110100,   3258
  1100,     0, 0100000000000,      11,      12,      13,   12,        0,        0,        1,        1,   zzzz, 0010100,   3531
  1101,     1, 1000000000000,      12,      13,      14,    0,        1,        0,        1,        1,   zzzz, 0010100,   3804
  1110,     0, 0000000000001,       0,       1,       2,    1,        0,        1,        1,        1,   zzzz, 1010101,    528
  1111,     1, 0000000000010,       1,       2,       3,    2,        1,        1,        1,        1,   zzzz, 1010100,    801
  0000,     0, 0000000000100,       2,       3,       4,    3,        0,        0,        0,        0,   zzzz, 1010100,   1074
  0001,     1, 0000000001000,       3,       4,       5,    4,        1,        0,        0,        0,   zzzz, 1010100,   1347
  0010,     0, 0000000010000,       4,       5,       6,    5,        0,        1,        0,        0,   zzzz, 1010100,   1620
  0011,     1, 0000000100000,       5,       6,       7,    6,        1,        1,        0,        0,   zzzz, 1011100,   1893
  0100,     0, 0000001000000,       6,       7,       8,    7,        0,        0,        1,        0,   zzzz, 1011100,   2166
