areset = 1, o_cnt = x, o_decade = xx, cnt_en = 0, o_en_cnt = x, time_val = 30, o_time_cnt = x, o_time_en = x, o_clk_h = x, o_clk_m = x, o_clk_s = x
areset = 0, o_cnt =   0, o_decade = 00, cnt_en = 0, o_en_cnt =   0, time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  0
areset = 0, o_cnt =   1, o_decade = 01, cnt_en = 0, o_en_cnt =   0, time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  1
areset = 0, o_cnt =   2, o_decade = 02, cnt_en = 0, o_en_cnt =   0, time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  2
areset = 0, o_cnt =   3, o_decade = 03, cnt_en = 0, o_en_cnt =   0, time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  3
areset = 0, o_cnt =   4, o_decade = 04, cnt_en = 1, o_en_cnt =   0, time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  4
areset = 0, o_cnt =   5, o_decade = 05, cnt_en = 0, o_en_cnt =   1, time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  5
areset = 0, o_cnt =   6, o_decade = 06, cnt_en = 0, o_en_cnt =   1, time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  6
areset = 0, o_cnt =   7, o_decade = 07, cnt_en = 0, o_en_cnt =   1, time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  7
areset = 0, o_cnt =   8, o_decade = 08, cnt_en = 0, o_en_cnt =   1, time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  8
areset = 0, o_cnt =   9, o_decade = 09, cnt_en = 0, o_en_cnt =   1, time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s =  9
areset = 0, o_cnt =  10, o_decade = 10, cnt_en = 1, o_en_cnt =   1, time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 10
areset = 0, o_cnt =  11, o_decade = 11, cnt_en = 0, o_en_cnt =   2, time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 11
areset = 0, o_cnt =  12, o_decade = 12, cnt_en = 0, o_en_cnt =   2, time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 12
areset = 0, o_cnt =  13, o_decade = 13, cnt_en = 0, o_en_cnt =   2, time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 13
areset = 0, o_cnt =  14, o_decade = 14, cnt_en = 0, o_en_cnt =   2, time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 14
areset = 0, o_cnt =  15, o_decade = 15, cnt_en = 0, o_en_cnt =   2, time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 15
areset = 0, o_cnt =  16, o_decade = 16, cnt_en = 1, o_en_cnt =   2, time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 16
areset = 0, o_cnt =  17, o_decade = 17, cnt_en = 0, o_en_cnt =   3, time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clk_h = 0, o_clk_m =  0, o_clk_s = 17
