i_reset = 1, o_cnt = x, o_decade = xx, i_cnt_en = 0, o_en_cnt = x, i_time_val = 30, o_time_cnt = x, o_time_en = x, o_clock_h = x, o_clock_m = x, o_clock_s = x
i_reset = 0, o_cnt =   0, o_decade = 00, i_cnt_en = 0, o_en_cnt =   0, i_time_val = 30, o_time_cnt =  0, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  0
i_reset = 0, o_cnt =   1, o_decade = 01, i_cnt_en = 0, o_en_cnt =   0, i_time_val = 30, o_time_cnt =  1, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  1
i_reset = 0, o_cnt =   2, o_decade = 02, i_cnt_en = 0, o_en_cnt =   0, i_time_val = 30, o_time_cnt =  2, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  2
i_reset = 0, o_cnt =   3, o_decade = 03, i_cnt_en = 0, o_en_cnt =   0, i_time_val = 30, o_time_cnt =  3, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  3
i_reset = 0, o_cnt =   4, o_decade = 04, i_cnt_en = 1, o_en_cnt =   0, i_time_val = 30, o_time_cnt =  4, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  4
i_reset = 0, o_cnt =   5, o_decade = 05, i_cnt_en = 0, o_en_cnt =   1, i_time_val = 30, o_time_cnt =  5, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  5
i_reset = 0, o_cnt =   6, o_decade = 06, i_cnt_en = 0, o_en_cnt =   1, i_time_val = 30, o_time_cnt =  6, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  6
i_reset = 0, o_cnt =   7, o_decade = 07, i_cnt_en = 0, o_en_cnt =   1, i_time_val = 30, o_time_cnt =  7, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  7
i_reset = 0, o_cnt =   8, o_decade = 08, i_cnt_en = 0, o_en_cnt =   1, i_time_val = 30, o_time_cnt =  8, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  8
i_reset = 0, o_cnt =   9, o_decade = 09, i_cnt_en = 0, o_en_cnt =   1, i_time_val = 30, o_time_cnt =  9, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s =  9
i_reset = 0, o_cnt =  10, o_decade = 10, i_cnt_en = 1, o_en_cnt =   1, i_time_val = 30, o_time_cnt = 10, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 10
i_reset = 0, o_cnt =  11, o_decade = 11, i_cnt_en = 0, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 11, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 11
i_reset = 0, o_cnt =  12, o_decade = 12, i_cnt_en = 0, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 12, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 12
i_reset = 0, o_cnt =  13, o_decade = 13, i_cnt_en = 0, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 13, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 13
i_reset = 0, o_cnt =  14, o_decade = 14, i_cnt_en = 0, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 14, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 14
i_reset = 0, o_cnt =  15, o_decade = 15, i_cnt_en = 0, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 15, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 15
i_reset = 0, o_cnt =  16, o_decade = 16, i_cnt_en = 1, o_en_cnt =   2, i_time_val = 30, o_time_cnt = 16, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 16
i_reset = 0, o_cnt =  17, o_decade = 17, i_cnt_en = 0, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 17, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 17
i_reset = 0, o_cnt =  18, o_decade = 18, i_cnt_en = 0, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 18, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 18
i_reset = 0, o_cnt =  19, o_decade = 19, i_cnt_en = 0, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 19, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 19
i_reset = 0, o_cnt =  20, o_decade = 20, i_cnt_en = 0, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 20, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 20
i_reset = 0, o_cnt =  21, o_decade = 21, i_cnt_en = 0, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 21, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 21
i_reset = 0, o_cnt =  22, o_decade = 22, i_cnt_en = 1, o_en_cnt =   3, i_time_val = 30, o_time_cnt = 22, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 22
i_reset = 0, o_cnt =  23, o_decade = 23, i_cnt_en = 0, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 23, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 23
i_reset = 0, o_cnt =  24, o_decade = 24, i_cnt_en = 0, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 24, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 24
i_reset = 0, o_cnt =  25, o_decade = 25, i_cnt_en = 0, o_en_cnt =   4, i_time_val = 30, o_time_cnt = 25, o_time_en = 0, o_clock_h = 0, o_clock_m =  0, o_clock_s = 25
