Requests=00000000, Active=x, Service=xxxxxxxx
Requests=00000000, Active=x, Service=00000000
Requests=00000000, Active=x, Service=00000000
Requests=00000001, Active=x, Service=00000000
Requests=00000001, Active=x, Service=00000000
Requests=00000011, Active=x, Service=00000000
Requests=00000011, Active=x, Service=00000000
Requests=10000011, Active=x, Service=00000000
Requests=10000011, Active=x, Service=00000000
Requests=10000011, Active=x, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=0, Service=00000000
