Time=   5ns, code = 4217, digit_in=0, match=0
Time=  15ns, code = 4217, digit_in=0, match=0
Time=  25ns, code = 4217, digit_in=0, match=0
Time=  35ns, code = 4217, digit_in=2, match=0
Time=  45ns, code = 4217, digit_in=7, match=0
Time=  55ns, code = 4217, digit_in=4, match=0
Time=  65ns, code = 4217, digit_in=2, match=0
Time=  75ns, code = 4217, digit_in=1, match=0
Time=  85ns, code = 4217, digit_in=7, match=0
Time=  95ns, code = 4217, digit_in=3, match=1
Time= 105ns, code = 4217, digit_in=4, match=0
Time= 115ns, code = 4217, digit_in=5, match=0
Time= 125ns, code = 4217, digit_in=4, match=0
Time= 135ns, code = 4217, digit_in=2, match=0
Time= 145ns, code = 4217, digit_in=1, match=0
Time= 155ns, code = 4217, digit_in=7, match=0
Time= 165ns, code = 4217, digit_in=4, match=1
Time= 175ns, code = 4217, digit_in=0, match=0
Time= 185ns, code = 4217, digit_in=5, match=0
Time= 195ns, code = 4217, digit_in=5, match=0
