Time=   5ns, Signal=0, Edge Detected=x
Time=  15ns, Signal=1, Edge Detected=0
Time=  25ns, Signal=0, Edge Detected=1
Time=  35ns, Signal=0, Edge Detected=0
Time=  45ns, Signal=1, Edge Detected=0
Time=  55ns, Signal=1, Edge Detected=1
Time=  65ns, Signal=1, Edge Detected=0
Time=  75ns, Signal=0, Edge Detected=0
Time=  85ns, Signal=1, Edge Detected=0
Time=  95ns, Signal=1, Edge Detected=1
Time= 105ns, Signal=0, Edge Detected=0
Time= 115ns, Signal=0, Edge Detected=0
Time= 125ns, Signal=0, Edge Detected=0
Time= 135ns, Signal=1, Edge Detected=0
Time= 145ns, Signal=1, Edge Detected=1
Time= 155ns, Signal=1, Edge Detected=0
