Requests=00000000, Active=0, Service=00000000
Requests=00000000, Active=0, Service=00000000
Requests=00000000, Active=0, Service=00000000
Requests=00000001, Active=0, Service=00000000
Requests=00000001, Active=0, Service=00000000
Requests=00000011, Active=1, Service=00000001
Requests=00000011, Active=1, Service=00000001
Requests=10000011, Active=1, Service=00000001
Requests=10000011, Active=1, Service=00000001
Requests=10000011, Active=1, Service=00000001
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=1, Service=10000000
Requests=10000011, Active=1, Service=10000000
Requests=10000011, Active=0, Service=00000000
Requests=10000011, Active=1, Service=00000010
Requests=10000011, Active=1, Service=00000010
Requests=10000011, Active=0, Service=00000000
