xmsim(64): 22.03-s012: (c) Copyright 1995-2023 Cadence Design Systems, Inc.
xmsim: *W,NOMTDGUI: Multi-Threaded Dumping is disabled for interactive debug mode.

-------------------------------------
Relinquished control to SimVision...
xcelium> 
xcelium> database -open waves -into waves.shm -default
Created default SHM database waves
xcelium> probe -create -shm tb_fidivider.i_clk_in tb_fidivider.i_rstn tb_fidivider.o_clk_out
Created probe 1
xcelium> run
Time=5, clk_in=1, clk_out=x
Time=15, clk_in=1, clk_out=0
Time=25, clk_in=1, clk_out=0
Time=35, clk_in=1, clk_out=0
Time=45, clk_in=1, clk_out=0
Time=55, clk_in=1, clk_out=0
Time=65, clk_in=1, clk_out=0
Time=75, clk_in=1, clk_out=1
Time=85, clk_in=1, clk_out=1
Time=95, clk_in=1, clk_out=1
Time=105, clk_in=1, clk_out=1
Time=115, clk_in=1, clk_out=1
Time=125, clk_in=1, clk_out=0
Time=135, clk_in=1, clk_out=0
Time=145, clk_in=1, clk_out=0
Time=155, clk_in=1, clk_out=0
Time=165, clk_in=1, clk_out=0
Time=175, clk_in=1, clk_out=1
Time=185, clk_in=1, clk_out=1
Time=195, clk_in=1, clk_out=1
Time=205, clk_in=1, clk_out=1
Time=215, clk_in=1, clk_out=1
Time=225, clk_in=1, clk_out=0
Time=235, clk_in=1, clk_out=0
Time=245, clk_in=1, clk_out=0
Time=255, clk_in=1, clk_out=0
Time=265, clk_in=1, clk_out=0
Time=275, clk_in=1, clk_out=1
Time=285, clk_in=1, clk_out=1
Time=295, clk_in=1, clk_out=1
Time=305, clk_in=1, clk_out=1
Time=315, clk_in=1, clk_out=1
Time=325, clk_in=1, clk_out=0
Time=335, clk_in=1, clk_out=0
Time=345, clk_in=1, clk_out=0
Time=355, clk_in=1, clk_out=0
Time=365, clk_in=1, clk_out=0
Time=375, clk_in=1, clk_out=1
Time=385, clk_in=1, clk_out=1
Time=395, clk_in=1, clk_out=1
Time=405, clk_in=1, clk_out=1
Time=415, clk_in=1, clk_out=1
Time=425, clk_in=1, clk_out=0
Time=435, clk_in=1, clk_out=0
Time=445, clk_in=1, clk_out=0
Time=455, clk_in=1, clk_out=0
Time=465, clk_in=1, clk_out=0
Time=475, clk_in=1, clk_out=1
Time=485, clk_in=1, clk_out=1
Time=495, clk_in=1, clk_out=1
Time=505, clk_in=1, clk_out=1
Time=515, clk_in=1, clk_out=1
Time=525, clk_in=1, clk_out=0
Time=535, clk_in=1, clk_out=0
Time=545, clk_in=1, clk_out=0
Time=555, clk_in=1, clk_out=0
Time=565, clk_in=1, clk_out=0
Time=575, clk_in=1, clk_out=1
Time=585, clk_in=1, clk_out=1
Time=595, clk_in=1, clk_out=1
Time=605, clk_in=1, clk_out=1
Time=615, clk_in=1, clk_out=1
Time=625, clk_in=1, clk_out=0
Time=635, clk_in=1, clk_out=0
Time=645, clk_in=1, clk_out=0
Time=655, clk_in=1, clk_out=0
Time=665, clk_in=1, clk_out=0
Time=675, clk_in=1, clk_out=1
Time=685, clk_in=1, clk_out=1
